Chr,gene_symbol,tissue,fold_change,p_value,regulation,detecting_method,pubMed_ID
18,GALR1,skin,1.35,0.00033,UP,RNA-Seq,28068941
19,GAMT,skin,-1.02,0.000388,DOWN,RNA-Seq,28068941
22,GGT5,skin,-0.96,0.00000276,DOWN,RNA-Seq,28068941
1,GLRX2,skin,-0.66,0.00143,DOWN,RNA-Seq,28068941
14,GLRX5,skin,-0.87,0.00000271,DOWN,RNA-Seq,28068941
1,GLTPD1,skin,-1.02,0.000357,DOWN,RNA-Seq,28068941
19,GLTSCR2,skin,-0.57,0.00174,DOWN,RNA-Seq,28068941
11,GLYATL2,skin,0.94,0.0000454,UP,RNA-Seq,28068941
7,GNG11,skin,-0.6,0.000635,DOWN,RNA-Seq,28068941
1,GNG5,skin,-0.92,0.000000701,DOWN,RNA-Seq,28068941
4,GNRHR,skin,0.97,0.00000597,UP,RNA-Seq,28068941
10,GOLGA7B,skin,-0.7,0.000642,DOWN,RNA-Seq,28068941
22,GP1BB,skin,-1.1,0.0000353,DOWN,RNA-Seq,28068941
2,GPC1,skin,-0.72,0.00027,DOWN,RNA-Seq,28068941
7,GPC2,skin,-0.88,0.0000459,DOWN,RNA-Seq,28068941
X,GPC3,skin,0.59,0.00122,UP,RNA-Seq,28068941
13,GPC6,skin,0.61,0.00178,UP,RNA-Seq,28068941
8,GPR172A,skin,-0.77,0.000235,DOWN,RNA-Seq,28068941
17,GPR172B,skin,-0.97,0.0000191,DOWN,RNA-Seq,28068941
12,GPRC5A,skin,0.74,0.000146,UP,RNA-Seq,28068941
6,GPSM3,skin,-0.62,0.00229,DOWN,RNA-Seq,28068941
6,GPSM3,skin,-0.62,0.00229,DOWN,RNA-Seq,28068941
6,GPSM3,skin,-0.62,0.00229,DOWN,RNA-Seq,28068941
6,GPSM3,skin,-0.62,0.00229,DOWN,RNA-Seq,28068941
6,GPSM3,skin,-0.62,0.00229,DOWN,RNA-Seq,28068941
6,GPSM3,skin,-0.62,0.00229,DOWN,RNA-Seq,28068941
6,GPSM3,skin,-0.62,0.00229,DOWN,RNA-Seq,28068941
6,GPSM3,skin,-0.62,0.00229,DOWN,RNA-Seq,28068941
6,GPSM3,skin,-0.62,0.00229,DOWN,RNA-Seq,28068941
16,GPT2,skin,-0.86,0.00000557,DOWN,RNA-Seq,28068941
3,GPX1,skin,-0.83,0.0000099,DOWN,RNA-Seq,28068941
22,GRAMD4,skin,-0.66,0.000203,DOWN,RNA-Seq,28068941
22,GRAP2,skin,0.75,0.000775,UP,RNA-Seq,28068941
X,GRIA3,skin,0.51,0.00148,UP,RNA-Seq,28068941
11,GRIA4,skin,0.66,0.000893,UP,RNA-Seq,28068941
19,GRIN3B,skin,-0.88,0.00019,DOWN,RNA-Seq,28068941
19,GRWD1,skin,-0.84,0.000101,DOWN,RNA-Seq,28068941
1,GSTM1,skin,1.6,1.21E-12,UP,RNA-Seq,28068941
10,GSTO1,skin,-0.61,0.00121,DOWN,RNA-Seq,28068941
10,GSTO2,skin,-0.64,0.000968,DOWN,RNA-Seq,28068941
11,GSTP1,skin,-0.64,0.000267,DOWN,RNA-Seq,28068941
13,GUCY1B2,skin,-1.44,0.00000426,DOWN,RNA-Seq,28068941
17,GUCY2D,skin,-1.65,0.0005,DOWN,RNA-Seq,28068941
1,GUK1,skin,-0.73,0.000197,DOWN,RNA-Seq,28068941
1,HAO2,skin,-0.76,0.00134,DOWN,RNA-Seq,28068941
1,HAX1,skin,-0.62,0.000956,DOWN,RNA-Seq,28068941
1,HAX1,skin,-0.62,0.000956,DOWN,RNA-Seq,28068941
16,HBA2,skin,-2.05,2.48E-13,DOWN,RNA-Seq,28068941
11,HBB,skin,-0.76,0.0000644,DOWN,RNA-Seq,28068941
6,HCG26,skin,-0.6,0.00177,DOWN,RNA-Seq,28068941
3,HCLS1,skin,-0.66,0.000394,DOWN,RNA-Seq,28068941
5,HCN1,skin,1.23,0.0000343,UP,RNA-Seq,28068941
17,HCRT,skin,2.62,0.000229,UP,RNA-Seq,28068941
15,HDDC3,skin,-0.81,0.0000699,DOWN,RNA-Seq,28068941
1,HES5,skin,-1.14,0.000679,DOWN,RNA-Seq,28068941
3,HESX1,skin,-1.62,0.0000264,DOWN,RNA-Seq,28068941
1,HFM1,skin,0.9,0.0013,UP,RNA-Seq,28068941
3,HGD,skin,-1.07,0.000212,DOWN,RNA-Seq,28068941
9,HINT2,skin,-0.76,0.0000434,DOWN,RNA-Seq,28068941
6,HIST1H1D,skin,0.6,0.0015,UP,RNA-Seq,28068941
6,HIST1H3C,skin,1.17,0.00161,UP,RNA-Seq,28068941
6,HLA-DQA2,skin,0.71,0.0000136,UP,RNA-Seq,28068941
6,HLA-DQA2,skin,0.71,0.0000136,UP,RNA-Seq,28068941
6,HLA-DQA2,skin,0.71,0.0000136,UP,RNA-Seq,28068941
6,HLA-DQA2,skin,0.71,0.0000136,UP,RNA-Seq,28068941
6,HLA-DQA2,skin,0.71,0.0000136,UP,RNA-Seq,28068941
6,HLA-DQA2,skin,0.71,0.0000136,UP,RNA-Seq,28068941
6,HLA-DQA2,skin,0.71,0.0000136,UP,RNA-Seq,28068941
6,HLA-DQA2,skin,0.71,0.0000136,UP,RNA-Seq,28068941
1,HMGCL,skin,-0.72,0.000485,DOWN,RNA-Seq,28068941
6,HMGN3,skin,-0.59,0.00159,DOWN,RNA-Seq,28068941
1,HORMAD1,skin,0.84,0.0000741,UP,RNA-Seq,28068941
17,HOXB2,skin,-1.02,0.0000154,DOWN,RNA-Seq,28068941
11,HRAS,skin,-0.95,0.00000145,DOWN,RNA-Seq,28068941
16,HS3ST4,skin,0.96,0.0000321,UP,RNA-Seq,28068941
16,HS3ST6,skin,-1.15,0.0000221,DOWN,RNA-Seq,28068941
16,HSD17B2,skin,-0.81,0.00143,DOWN,RNA-Seq,28068941
6,HSD17B8,skin,-0.72,0.000207,DOWN,RNA-Seq,28068941
6,HSD17B8,skin,-0.72,0.000207,DOWN,RNA-Seq,28068941
6,HSD17B8,skin,-0.72,0.000207,DOWN,RNA-Seq,28068941
6,HSD17B8,skin,-0.72,0.000207,DOWN,RNA-Seq,28068941
6,HSD17B8,skin,-0.72,0.000207,DOWN,RNA-Seq,28068941
6,HSD17B8,skin,-0.72,0.000207,DOWN,RNA-Seq,28068941
11,HSPB2,skin,-1.06,0.000000444,DOWN,RNA-Seq,28068941
16,HTA,skin,3.04,0.0007,UP,RNA-Seq,28068941
4,HTRA3,skin,-0.68,0.00111,DOWN,RNA-Seq,28068941
20,ID1,skin,-1.32,2.47E-11,DOWN,RNA-Seq,28068941
19,IER2,skin,-0.62,0.00096,DOWN,RNA-Seq,28068941
6,IER3,skin,-0.74,0.0000587,DOWN,RNA-Seq,28068941
6,IER3,skin,-0.74,0.0000587,DOWN,RNA-Seq,28068941
6,IER3,skin,-0.74,0.0000587,DOWN,RNA-Seq,28068941
6,IER3,skin,-0.74,0.0000587,DOWN,RNA-Seq,28068941
6,IER3,skin,-0.74,0.0000587,DOWN,RNA-Seq,28068941
6,IER3,skin,-0.74,0.0000587,DOWN,RNA-Seq,28068941
1,IER5,skin,-0.57,0.00227,DOWN,RNA-Seq,28068941
14,IFI27,skin,-0.61,0.000169,DOWN,RNA-Seq,28068941
19,IFI30,skin,-0.42,0.000749,DOWN,RNA-Seq,28068941
11,IFITM1,skin,-0.58,0.00113,DOWN,RNA-Seq,28068941
11,IFITM3,skin,-0.66,0.0000735,DOWN,RNA-Seq,28068941
11,IGF2,skin,0.64,0.000777,UP,RNA-Seq,28068941
12,IGFBP6,skin,-0.67,0.000486,DOWN,RNA-Seq,28068941
19,IGFL2,skin,-0.71,0.000351,DOWN,RNA-Seq,28068941
22,IGLL5,skin,1.35,0.000000817,UP,RNA-Seq,28068941
3,IGSF10,skin,0.73,0.0000323,UP,RNA-Seq,28068941
2,IL1F10,skin,-0.86,0.0000426,DOWN,RNA-Seq,28068941
5,IL31RA,skin,0.92,0.00103,UP,RNA-Seq,28068941
7,INHBA,skin,1.1,4.35E-08,UP,RNA-Seq,28068941
18,INO80C,skin,-0.72,0.000187,DOWN,RNA-Seq,28068941
11,INS-IGF2,skin,0.64,0.000701,UP,RNA-Seq,28068941
15,ISG20,skin,-0.99,0.00186,DOWN,RNA-Seq,28068941
16,ITGAX,skin,-0.6,0.0013,DOWN,RNA-Seq,28068941
20,ITPA,skin,-0.84,0.00000398,DOWN,RNA-Seq,28068941
1,JMJD4,skin,-0.83,0.000174,DOWN,RNA-Seq,28068941
18,KC6,skin,1.41,0.00166,UP,RNA-Seq,28068941
12,KCNA1,skin,1.12,7.62E-08,UP,RNA-Seq,28068941
21,KCNE1,skin,1.04,0.0000756,UP,RNA-Seq,28068941
21,KCNE1,skin,1.04,0.0000756,UP,RNA-Seq,28068941
11,KCNK7,skin,-0.97,0.00000139,DOWN,RNA-Seq,28068941
6,KCNQ5,skin,0.74,0.00216,UP,RNA-Seq,28068941
5,KCTD16,skin,0.87,0.000635,UP,RNA-Seq,28068941
10,KIAA1274,skin,-0.67,0.000496,DOWN,RNA-Seq,28068941
8,KIFC2,skin,-1.31,8.96E-12,DOWN,RNA-Seq,28068941
19,KLF2,skin,-1,0.00000463,DOWN,RNA-Seq,28068941
3,KLHDC8B,skin,-0.69,0.000703,DOWN,RNA-Seq,28068941
X,KLHL4,skin,0.63,0.00198,UP,RNA-Seq,28068941
19,KLK11,skin,-0.61,0.000419,DOWN,RNA-Seq,28068941
19,KLK8,skin,-0.59,0.000654,DOWN,RNA-Seq,28068941
12,KLRC3,skin,1.99,0.00107,UP,RNA-Seq,28068941
17,KRT15,skin,-0.85,0.00000217,DOWN,RNA-Seq,28068941
17,KRT17,skin,-0.9,0.00000289,DOWN,RNA-Seq,28068941
17,KRT27,skin,-0.81,0.000394,DOWN,RNA-Seq,28068941
17,KRT31,skin,-0.74,0.00146,DOWN,RNA-Seq,28068941
12,KRT4,skin,-1.13,0.00000949,DOWN,RNA-Seq,28068941
12,KRT71,skin,-0.79,0.0000841,DOWN,RNA-Seq,28068941
12,KRT74,skin,-0.96,0.0000475,DOWN,RNA-Seq,28068941
12,KRT79,skin,-1.13,7.56E-08,DOWN,RNA-Seq,28068941
12,KRT85,skin,-0.96,0.000475,DOWN,RNA-Seq,28068941
17,KRT9,skin,0.48,0.001,UP,RNA-Seq,28068941
17,KRTAP1-5,skin,1.15,0.00137,UP,RNA-Seq,28068941
17,KRTAP4-1,skin,1.78,0.0000735,UP,RNA-Seq,28068941
11,KRTAP5-10,skin,-1.4,0.000763,DOWN,RNA-Seq,28068941
1,KRTCAP2,skin,-0.67,0.000235,DOWN,RNA-Seq,28068941
2,KRTCAP3,skin,-0.72,0.000834,DOWN,RNA-Seq,28068941
19,KRTDAP,skin,-0.83,0.00000289,DOWN,RNA-Seq,28068941
20,LBP,skin,-2.46,0.000269,DOWN,RNA-Seq,28068941
1,LCE1A,skin,-1.04,0.000000033,DOWN,RNA-Seq,28068941
1,LCE1B,skin,-1.01,1.51E-08,DOWN,RNA-Seq,28068941
1,LCE1C,skin,-0.95,0.000000228,DOWN,RNA-Seq,28068941
1,LCE1D,skin,-0.86,0.0000417,DOWN,RNA-Seq,28068941
1,LCE1E,skin,-0.7,0.000273,DOWN,RNA-Seq,28068941
1,LCE1F,skin,-0.68,0.000162,DOWN,RNA-Seq,28068941
1,LCE2C,skin,-0.68,0.000493,DOWN,RNA-Seq,28068941
1,LCE2D,skin,-1.35,1.58E-12,DOWN,RNA-Seq,28068941
1,LCE3D,skin,-0.91,0.0000165,DOWN,RNA-Seq,28068941
1,LCE5A,skin,-1.53,2.19E-16,DOWN,RNA-Seq,28068941
7,LEP,skin,-0.62,0.00157,DOWN,RNA-Seq,28068941
7,LFNG,skin,-0.74,0.0000919,DOWN,RNA-Seq,28068941
22,LGALS1,skin,-0.85,0.000000701,DOWN,RNA-Seq,28068941
11,LGALS12,skin,-0.92,0.00132,DOWN,RNA-Seq,28068941
19,LGALS7,skin,-1.65,0.000000444,DOWN,RNA-Seq,28068941
19,LGALS7B,skin,-1.95,0.000000002,DOWN,RNA-Seq,28068941
19,LILRA2,skin,-1.73,0.00000143,DOWN,RNA-Seq,28068941
19,LILRA2,skin,-1.73,0.00000143,DOWN,RNA-Seq,28068941
19,LILRA2,skin,-1.73,0.00000143,DOWN,RNA-Seq,28068941
19,LIN7B,skin,-0.77,0.000437,DOWN,RNA-Seq,28068941
9,LINGO2,skin,1.04,0.0000143,UP,RNA-Seq,28068941
3,LMOD3,skin,0.91,0.000284,UP,RNA-Seq,28068941
-,LOC100125556,skin,-0.78,0.0021,DOWN,RNA-Seq,28068941
-,LOC100128822,skin,-0.62,0.00221,DOWN,RNA-Seq,28068941
-,LOC100131801,skin,-0.82,0.000168,DOWN,RNA-Seq,28068941
-,LOC100233209,skin,0.9,0.000142,UP,RNA-Seq,28068941
-,LOC100271831,skin,-0.84,0.0000895,DOWN,RNA-Seq,28068941
19,LOC100379224,skin,-0.61,0.00186,DOWN,RNA-Seq,28068941
2,LOC100499194,skin,0.9,0.00121,UP,RNA-Seq,28068941
-,LOC100507463,skin,-0.74,0.0000301,DOWN,RNA-Seq,28068941
-,LOC121952,skin,0.76,0.000127,UP,RNA-Seq,28068941
-,LOC145820,skin,0.88,0.000131,UP,RNA-Seq,28068941
1,LOC148413,skin,-0.6,0.0021,DOWN,RNA-Seq,28068941
-,LOC152217,skin,-0.84,0.00000479,DOWN,RNA-Seq,28068941
19,LOC284454,skin,-0.6,0.000491,DOWN,RNA-Seq,28068941
-,LOC388789,skin,-0.95,0.000000177,DOWN,RNA-Seq,28068941
-,LOC402778,skin,-0.89,0.000156,DOWN,RNA-Seq,28068941
-,LOC440600,skin,1.14,0.000145,UP,RNA-Seq,28068941
7,LOC641746,skin,-1.94,0.000266,DOWN,RNA-Seq,28068941
-,LOC642587,skin,-0.96,6.85E-08,DOWN,RNA-Seq,28068941
-,LOC643008,skin,-0.73,0.000404,DOWN,RNA-Seq,28068941
-,LOC645638,skin,-1.08,9.28E-09,DOWN,RNA-Seq,28068941
-,LOC650368,skin,-1.15,0.000608,DOWN,RNA-Seq,28068941
17,LOC728392,skin,-0.79,0.000132,DOWN,RNA-Seq,28068941
1,LOC728989,skin,1.88,0.00184,UP,RNA-Seq,28068941
-,LOC731779,skin,1.65,0.0000307,UP,RNA-Seq,28068941
4,LOC93622,skin,-0.67,0.000114,DOWN,RNA-Seq,28068941
1,LOR,skin,-0.8,0.000024,DOWN,RNA-Seq,28068941
11,LRRC10B,skin,-1.81,0.000986,DOWN,RNA-Seq,28068941
16,LRRC50,skin,1.24,0.00195,UP,RNA-Seq,28068941
3,LRTM1,skin,1.17,0.00198,UP,RNA-Seq,28068941
19,LSM4,skin,-0.61,0.0013,DOWN,RNA-Seq,28068941
21,LSS,skin,-0.66,0.000185,DOWN,RNA-Seq,28068941
14,LTB4R2,skin,-0.72,0.000622,DOWN,RNA-Seq,28068941
12,LUM,skin,0.57,0.000657,UP,RNA-Seq,28068941
8,LY6D,skin,-0.58,0.000778,DOWN,RNA-Seq,28068941
8,LY6K,skin,-0.83,0.000173,DOWN,RNA-Seq,28068941
8,LY6K,skin,-0.83,0.000173,DOWN,RNA-Seq,28068941
2,LYPD6B,skin,-0.72,0.0000677,DOWN,RNA-Seq,28068941
10,LZTS2,skin,-0.67,0.000208,DOWN,RNA-Seq,28068941
3,MANF,skin,-0.73,0.00012,DOWN,RNA-Seq,28068941
3,MANF,skin,-0.73,0.00012,DOWN,RNA-Seq,28068941
20,MAP1LC3A,skin,-0.9,0.000281,DOWN,RNA-Seq,28068941
2,MARCO,skin,-1.1,0.000000125,DOWN,RNA-Seq,28068941
14,MDP1,skin,-0.88,0.00000406,DOWN,RNA-Seq,28068941
5,MED10,skin,-0.62,0.000588,DOWN,RNA-Seq,28068941
12,METTL7A,skin,-0.64,0.000367,DOWN,RNA-Seq,28068941
8,MFSD3,skin,-0.97,0.000239,DOWN,RNA-Seq,28068941
12,MFSD5,skin,-0.57,0.00176,DOWN,RNA-Seq,28068941
4,MFSD7,skin,-1,0.00137,DOWN,RNA-Seq,28068941
5,MGAT1,skin,-0.56,0.00178,DOWN,RNA-Seq,28068941
12,MGP,skin,-0.7,0.0000857,DOWN,RNA-Seq,28068941
22,MIF,skin,-0.94,0.00000246,DOWN,RNA-Seq,28068941
2,MIR1244-1,skin,-0.9,0.00000129,DOWN,RNA-Seq,28068941
5,MIR1244-2,skin,-0.9,0.00000129,DOWN,RNA-Seq,28068941
12,MIR1244-3,skin,-0.9,0.00000129,DOWN,RNA-Seq,28068941
15,MIR1282,skin,-0.68,0.000549,DOWN,RNA-Seq,28068941
15,MIR147B,skin,-1.23,0.00000746,DOWN,RNA-Seq,28068941
1,MIR205,skin,-0.71,0.00206,DOWN,RNA-Seq,28068941
7,MLXIPL,skin,-0.75,0.00208,DOWN,RNA-Seq,28068941
7,MLXIPL,skin,-0.75,0.00208,DOWN,RNA-Seq,28068941
8,MMP16,skin,0.63,0.00173,UP,RNA-Seq,28068941
11,MMP3,skin,-1.36,0.000246,DOWN,RNA-Seq,28068941
11,MMP3,skin,-1.36,0.000246,DOWN,RNA-Seq,28068941
11,MOGAT2,skin,-1.59,0.00000222,DOWN,RNA-Seq,28068941
2,MPP4,skin,1.06,0.00135,UP,RNA-Seq,28068941
22,MPST,skin,-1.12,0.00000016,DOWN,RNA-Seq,28068941
6,MRPL14,skin,-1.04,8.08E-09,DOWN,RNA-Seq,28068941
8,MRPL15,skin,-0.7,0.0000865,DOWN,RNA-Seq,28068941
11,MRPL23,skin,-1.04,0.0000756,DOWN,RNA-Seq,28068941
17,MRPL27,skin,-0.6,0.00164,DOWN,RNA-Seq,28068941
2,MRPL33,skin,-0.84,0.00000321,DOWN,RNA-Seq,28068941
9,MRPL41,skin,-0.97,0.00000679,DOWN,RNA-Seq,28068941
14,MRPL52,skin,-1.05,2.08E-08,DOWN,RNA-Seq,28068941
19,MRPL54,skin,-0.91,0.0000292,DOWN,RNA-Seq,28068941
1,MRPL55,skin,-0.99,0.0000109,DOWN,RNA-Seq,28068941
19,MRPS12,skin,-0.69,0.000954,DOWN,RNA-Seq,28068941
7,MRPS17,skin,-0.75,0.000459,DOWN,RNA-Seq,28068941
7,MRPS24,skin,-0.58,0.00212,DOWN,RNA-Seq,28068941
11,MS4A4A,skin,-0.59,0.00097,DOWN,RNA-Seq,28068941
10,MSMB,skin,-1,0.00000634,DOWN,RNA-Seq,28068941
10,MSMB,skin,-1,0.00000634,DOWN,RNA-Seq,28068941
1,MST1P2,skin,-0.78,0.00203,DOWN,RNA-Seq,28068941
16,MT1G,skin,-1.19,0.00000277,DOWN,RNA-Seq,28068941
16,MT1L,skin,-1.9,0.000254,DOWN,RNA-Seq,28068941
16,MT1M,skin,-1.38,0.000828,DOWN,RNA-Seq,28068941
16,MT1X,skin,-1.12,1.95E-10,DOWN,RNA-Seq,28068941
16,MT2A,skin,-1.09,3.94E-08,DOWN,RNA-Seq,28068941
16,MT4,skin,-2.66,5.66E-08,DOWN,RNA-Seq,28068941
6,MTCH1,skin,-0.61,0.000501,DOWN,RNA-Seq,28068941
1,MUC1,skin,-0.87,0.000826,DOWN,RNA-Seq,28068941
19,MUC16,skin,0.89,0.00000115,UP,RNA-Seq,28068941
3,MUSTN1,skin,-1.11,0.00000113,DOWN,RNA-Seq,28068941
16,MVD,skin,-0.75,0.000948,DOWN,RNA-Seq,28068941
12,MVK,skin,-0.72,0.000992,DOWN,RNA-Seq,28068941
12,MVK,skin,-0.72,0.000992,DOWN,RNA-Seq,28068941
X,MXRA5,skin,0.66,0.0000666,UP,RNA-Seq,28068941
2,MYEOV2,skin,-0.53,0.00211,DOWN,RNA-Seq,28068941
12,MYL6,skin,-0.71,0.0000534,DOWN,RNA-Seq,28068941
5,MYOT,skin,0.91,0.000377,UP,RNA-Seq,28068941
5,MYOT,skin,0.91,0.000377,UP,RNA-Seq,28068941
2,MZT2B,skin,-0.87,0.000693,DOWN,RNA-Seq,28068941
X,NAA10,skin,-0.78,0.0000661,DOWN,RNA-Seq,28068941
17,NAGLU,skin,-0.63,0.000441,DOWN,RNA-Seq,28068941
-,NAT6,skin,-0.69,0.00187,DOWN,RNA-Seq,28068941
-,NAT6,skin,-0.69,0.00187,DOWN,RNA-Seq,28068941
4,NCRNA00099,skin,0.93,0.00206,UP,RNA-Seq,28068941
2,NCRNA00116,skin,-0.94,0.00147,DOWN,RNA-Seq,28068941
15,NCRNA00277,skin,1.48,0.000138,UP,RNA-Seq,28068941
X,NDUFA1,skin,-0.64,0.000287,DOWN,RNA-Seq,28068941
19,NDUFA11,skin,-0.78,0.0000472,DOWN,RNA-Seq,28068941
19,NDUFA13,skin,-0.72,0.000141,DOWN,RNA-Seq,28068941
5,NDUFA2,skin,-0.74,0.0000526,DOWN,RNA-Seq,28068941
7,NDUFA4,skin,-0.7,0.0000668,DOWN,RNA-Seq,28068941
19,NDUFA7,skin,-0.83,0.0000102,DOWN,RNA-Seq,28068941
9,NDUFA8,skin,-0.63,0.000711,DOWN,RNA-Seq,28068941
16,NDUFAB1,skin,-0.58,0.00102,DOWN,RNA-Seq,28068941
14,NDUFB1,skin,-0.81,0.0000135,DOWN,RNA-Seq,28068941
16,NDUFB10,skin,-0.63,0.000257,DOWN,RNA-Seq,28068941
X,NDUFB11,skin,-0.83,0.00000884,DOWN,RNA-Seq,28068941
7,NDUFB2,skin,-0.68,0.0000946,DOWN,RNA-Seq,28068941
4,NDUFC1,skin,-0.82,0.00000132,DOWN,RNA-Seq,28068941
11,NDUFC2,skin,-0.58,0.00118,DOWN,RNA-Seq,28068941
1,NDUFS5,skin,-0.95,0.000000271,DOWN,RNA-Seq,28068941
5,NDUFS6,skin,-0.89,0.00000122,DOWN,RNA-Seq,28068941
19,NDUFS7,skin,-1.34,0.00000839,DOWN,RNA-Seq,28068941
11,NDUFV1,skin,-0.57,0.00148,DOWN,RNA-Seq,28068941
14,NEDD8,skin,-0.66,0.000228,DOWN,RNA-Seq,28068941
8,NEIL2,skin,-0.6,0.00165,DOWN,RNA-Seq,28068941
18,NETO1,skin,0.76,0.00142,UP,RNA-Seq,28068941
6,NHEG1,skin,0.91,0.00026,UP,RNA-Seq,28068941
5,NHP2,skin,-0.64,0.00137,DOWN,RNA-Seq,28068941
22,NHP2L1,skin,-0.53,0.00212,DOWN,RNA-Seq,28068941
6,NKAIN2,skin,0.74,0.000754,UP,RNA-Seq,28068941
6,NKAPL,skin,0.8,0.000911,UP,RNA-Seq,28068941
15,NMB,skin,-0.59,0.00222,DOWN,RNA-Seq,28068941
17,NME1,skin,-0.83,0.00000815,DOWN,RNA-Seq,28068941
17,NME1-NME2,skin,-0.71,0.0000677,DOWN,RNA-Seq,28068941
17,NME2,skin,-0.71,0.0000677,DOWN,RNA-Seq,28068941
16,NME3,skin,-0.86,0.0001,DOWN,RNA-Seq,28068941
5,NME5,skin,1.06,0.00031,UP,RNA-Seq,28068941
4,NMU,skin,-1.17,1.47E-10,DOWN,RNA-Seq,28068941
15,NOP10,skin,-1.04,9.37E-09,DOWN,RNA-Seq,28068941
19,NOSIP,skin,-1.25,0.00000142,DOWN,RNA-Seq,28068941
20,NPEPL1,skin,-0.69,0.000192,DOWN,RNA-Seq,28068941
12,NPFF,skin,-0.88,0.0000518,DOWN,RNA-Seq,28068941
11,NR1H3,skin,-0.71,0.000321,DOWN,RNA-Seq,28068941
8,NRG1,skin,0.61,0.00105,UP,RNA-Seq,28068941
2,NRXN1,skin,0.82,0.0000502,UP,RNA-Seq,28068941
17,NT5C,skin,-0.84,0.000475,DOWN,RNA-Seq,28068941
3,NT5DC2,skin,-0.74,0.0000904,DOWN,RNA-Seq,28068941
16,NUBP2,skin,-1.1,0.000000501,DOWN,RNA-Seq,28068941
14,NUDT14,skin,-0.72,0.00221,DOWN,RNA-Seq,28068941
16,NUDT16L1,skin,-0.74,0.000188,DOWN,RNA-Seq,28068941
11,NUDT8,skin,-1.62,9.62E-09,DOWN,RNA-Seq,28068941
1,NUP210L,skin,0.92,0.00111,UP,RNA-Seq,28068941
19,OAZ1,skin,-0.63,0.000423,DOWN,RNA-Seq,28068941
9,OBP2B,skin,-1.34,0.0000871,DOWN,RNA-Seq,28068941
9,OBP2B,skin,-1.34,0.0000871,DOWN,RNA-Seq,28068941
4,OCIAD2,skin,-0.71,0.0000853,DOWN,RNA-Seq,28068941
9,OGN,skin,0.78,0.00000478,UP,RNA-Seq,28068941
6,OLIG3,skin,-1.9,0.000455,DOWN,RNA-Seq,28068941
6,OOEP,skin,-2.21,0.000109,DOWN,RNA-Seq,28068941
11,OR10A6,skin,-1.53,0.000669,DOWN,RNA-Seq,28068941
9,OR1J4,skin,1.91,0.00163,UP,RNA-Seq,28068941
6,OR2H2,skin,-3.6,0.000393,DOWN,RNA-Seq,28068941
6,OR2H2,skin,-3.6,0.000393,DOWN,RNA-Seq,28068941
6,OR2H2,skin,-3.6,0.000393,DOWN,RNA-Seq,28068941
6,OR2H2,skin,-3.6,0.000393,DOWN,RNA-Seq,28068941
6,OR2H2,skin,-3.6,0.000393,DOWN,RNA-Seq,28068941
6,OR2H2,skin,-3.6,0.000393,DOWN,RNA-Seq,28068941
6,OR2H2,skin,-3.6,0.000393,DOWN,RNA-Seq,28068941
12,ORAI1,skin,-0.69,0.000199,DOWN,RNA-Seq,28068941
12,ORAI1,skin,-0.69,0.000199,DOWN,RNA-Seq,28068941
16,ORC6,skin,-0.85,0.000693,DOWN,RNA-Seq,28068941
14,OSGEP,skin,-0.61,0.000634,DOWN,RNA-Seq,28068941
11,OTUB1,skin,-0.63,0.000443,DOWN,RNA-Seq,28068941
17,OVCA2,skin,-0.56,0.00173,DOWN,RNA-Seq,28068941
13,OXGR1,skin,0.68,0.000947,UP,RNA-Seq,28068941
2,PABPC1P2,skin,-1.81,4.44E-11,DOWN,RNA-Seq,28068941
16,PAM16,skin,-0.78,0.00032,DOWN,RNA-Seq,28068941
10,PAOX,skin,-0.86,0.00199,DOWN,RNA-Seq,28068941
16,PAQR4,skin,-0.84,0.000486,DOWN,RNA-Seq,28068941
1,PAQR6,skin,-0.6,0.00156,DOWN,RNA-Seq,28068941
13,PCDH9,skin,0.77,0.0000769,UP,RNA-Seq,28068941
11,PDDC1,skin,-0.68,0.00054,DOWN,RNA-Seq,28068941
8,PDLIM2,skin,-0.75,0.0000211,DOWN,RNA-Seq,28068941
10,PDZD7,skin,-0.82,0.000198,DOWN,RNA-Seq,28068941
1,PDZK1IP1,skin,-0.61,0.00143,DOWN,RNA-Seq,28068941
7,PEG10,skin,0.62,0.00191,UP,RNA-Seq,28068941
19,PEG3,skin,0.65,0.000219,UP,RNA-Seq,28068941
19,PEG3-AS1,skin,0.74,0.000153,UP,RNA-Seq,28068941
11,PEX16,skin,-0.91,0.000139,DOWN,RNA-Seq,28068941
1,PFDN2,skin,-0.83,0.0000133,DOWN,RNA-Seq,28068941
12,PFDN5,skin,-0.91,5.76E-08,DOWN,RNA-Seq,28068941
6,PI16,skin,0.66,0.000099,UP,RNA-Seq,28068941
1,PIGR,skin,1,0.000231,UP,RNA-Seq,28068941
22,PIM3,skin,-0.92,0.00000177,DOWN,RNA-Seq,28068941
5,PITX1,skin,-2.02,0.000389,DOWN,RNA-Seq,28068941
11,PKP3,skin,-0.64,0.000351,DOWN,RNA-Seq,28068941
1,PLA2G2A,skin,-0.81,9.13E-08,DOWN,RNA-Seq,28068941
1,PLA2G2F,skin,-0.91,0.000202,DOWN,RNA-Seq,28068941
22,PLA2G3,skin,-0.77,0.000252,DOWN,RNA-Seq,28068941
10,PLAC9,skin,-0.85,0.0000185,DOWN,RNA-Seq,28068941
